Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Morgan Freeman,Training Day,2017,Screen Actors Guild,83%,Movie
Morgan Freeman,Pulp Fiction,2020,Golden Globe,61%,Series
Robert De Niro,Lucy,2013,BAFTA,52%,Series
Sandra Bullock,La La Land,2010,No Awards,79%,Movie
Robert De Niro,The Matrix,1997,No Awards,50%,Movie
Denzel Washington,Lucy,2023,BAFTA,90%,Series
Natalie Portman,The Shawshank Redemption,1997,Critics Choice,65%,Movie
Sandra Bullock,Ocean's Eleven,1987,BAFTA,40%,Movie
Leonardo DiCaprio,Titanic,2008,Critics Choice,69%,Series
Meryl Streep,The Departed,2016,Oscar,76%,Movie
Brad Pitt,Titanic,2011,Screen Actors Guild,75%,Movie
Brad Pitt,Pulp Fiction,1994,No Awards,79%,Movie
Denzel Washington,The Shawshank Redemption,1994,No Awards,59%,Movie
Denzel Washington,The Devil Wears Prada,1988,Screen Actors Guild,49%,Series
Brad Pitt,The Shawshank Redemption,1987,No Awards,47%,Series
Morgan Freeman,The Devil Wears Prada,2009,Critics Choice,52%,Series
Robert De Niro,The Departed,1990,Oscar,87%,Series
Morgan Freeman,The Wolf of Wall Street,1998,BAFTA,43%,Series
Scarlett Johansson,Fight Club,1984,Golden Globe,81%,Movie
Morgan Freeman,The Wolf of Wall Street,2007,Critics Choice,66%,Movie
Leonardo DiCaprio,Pulp Fiction,1986,BAFTA,81%,Series
Scarlett Johansson,Gravity,2019,Oscar,82%,Movie
Leonardo DiCaprio,Pulp Fiction,2004,Oscar,63%,Movie
Robert De Niro,The Shawshank Redemption,1986,No Awards,59%,Movie
Meryl Streep,La La Land,1998,Oscar,92%,Series
Brad Pitt,The Wolf of Wall Street,1987,No Awards,100%,Movie
Tom Hanks,The Matrix,1990,Screen Actors Guild,54%,Movie
Brad Pitt,Fight Club,1981,Golden Globe,76%,Series
Meryl Streep,Fight Club,2018,No Awards,56%,Movie
Leonardo DiCaprio,The Godfather Part II,2020,Screen Actors Guild,82%,Series
Natalie Portman,The Shawshank Redemption,2017,BAFTA,58%,Series
Robert De Niro,The Iron Lady,2020,Golden Globe,77%,Series
Denzel Washington,Training Day,2023,Critics Choice,98%,Movie
Robert De Niro,Lucy,1984,No Awards,80%,Movie
Morgan Freeman,Pulp Fiction,1988,Oscar,51%,Series
Denzel Washington,The Matrix,1984,No Awards,96%,Series
Leonardo DiCaprio,Lucy,2004,No Awards,78%,Series
Scarlett Johansson,Pulp Fiction,2006,Critics Choice,44%,Movie
Leonardo DiCaprio,The Iron Lady,1988,No Awards,48%,Series
Sandra Bullock,Lucy,1998,Critics Choice,64%,Series
Robert De Niro,The Departed,2007,Critics Choice,87%,Movie
Sandra Bullock,The Wolf of Wall Street,1983,BAFTA,86%,Series
Denzel Washington,The Matrix,1985,Critics Choice,99%,Series
Denzel Washington,Se7en,1983,No Awards,65%,Series
Denzel Washington,Black Swan,1983,BAFTA,66%,Series
Sandra Bullock,The Silence of the Lambs,1987,Golden Globe,94%,Movie
Leonardo DiCaprio,Ocean's Eleven,1996,No Awards,52%,Series
Denzel Washington,Gravity,2001,Oscar,42%,Movie
Morgan Freeman,Ocean's Eleven,2010,Oscar,56%,Movie
Morgan Freeman,The Wolf of Wall Street,1999,No Awards,81%,Series
Meryl Streep,Fences,1995,Golden Globe,90%,Movie
Sandra Bullock,Pulp Fiction,1988,BAFTA,40%,Movie
Sandra Bullock,Forrest Gump,2017,No Awards,58%,Movie
Denzel Washington,The Iron Lady,2010,No Awards,83%,Series
Scarlett Johansson,Fences,2003,Golden Globe,46%,Series
Natalie Portman,The Matrix,1984,Oscar,90%,Series
Tom Hanks,The Iron Lady,1989,Critics Choice,65%,Series
Morgan Freeman,Training Day,1994,Oscar,45%,Series
Scarlett Johansson,The Matrix,1987,BAFTA,44%,Movie
Morgan Freeman,Black Swan,2022,Screen Actors Guild,49%,Series
Sandra Bullock,The Devil Wears Prada,1983,No Awards,83%,Movie
Natalie Portman,The Matrix,1986,Oscar,52%,Series
Leonardo DiCaprio,Ocean's Eleven,1992,BAFTA,97%,Movie
Morgan Freeman,The Departed,1990,Screen Actors Guild,87%,Series
Robert De Niro,The Godfather Part II,1980,Golden Globe,69%,Series
Natalie Portman,The Shawshank Redemption,2011,BAFTA,65%,Movie
Leonardo DiCaprio,Titanic,2018,Golden Globe,81%,Series
Denzel Washington,Black Swan,1990,Screen Actors Guild,86%,Movie
Morgan Freeman,The Silence of the Lambs,2020,Oscar,74%,Movie
Robert De Niro,Ocean's Eleven,2018,Golden Globe,55%,Movie
Morgan Freeman,Fences,2014,Critics Choice,42%,Series
Scarlett Johansson,The Shawshank Redemption,2017,Golden Globe,44%,Series
Brad Pitt,Training Day,2016,Screen Actors Guild,42%,Series
Brad Pitt,Forrest Gump,1997,BAFTA,65%,Movie
Scarlett Johansson,Gravity,2011,Oscar,52%,Series
Robert De Niro,The Devil Wears Prada,1987,No Awards,77%,Movie
Meryl Streep,La La Land,1981,Golden Globe,90%,Movie
Robert De Niro,Pulp Fiction,2016,BAFTA,78%,Series
Tom Hanks,The Shawshank Redemption,2001,Oscar,100%,Movie
Robert De Niro,Black Swan,1991,Screen Actors Guild,65%,Series
Tom Hanks,The Silence of the Lambs,1982,Screen Actors Guild,77%,Series
Robert De Niro,The Departed,2013,Critics Choice,77%,Series
Meryl Streep,Lucy,1986,No Awards,95%,Movie
Sandra Bullock,Fight Club,1991,Oscar,44%,Movie
Meryl Streep,The Wolf of Wall Street,1986,Golden Globe,64%,Movie
Robert De Niro,The Matrix,1993,Screen Actors Guild,57%,Series
Leonardo DiCaprio,Black Swan,1995,Screen Actors Guild,63%,Series
Meryl Streep,Se7en,2002,Critics Choice,57%,Series
Tom Hanks,The Devil Wears Prada,1997,BAFTA,63%,Movie
Scarlett Johansson,Forrest Gump,1983,Critics Choice,79%,Movie
Brad Pitt,Se7en,2017,No Awards,44%,Movie
Robert De Niro,The Devil Wears Prada,2020,Screen Actors Guild,75%,Movie
Robert De Niro,Fences,2016,BAFTA,48%,Series
Natalie Portman,The Devil Wears Prada,1997,BAFTA,89%,Movie
Brad Pitt,Lucy,2007,Golden Globe,75%,Movie
Tom Hanks,The Shawshank Redemption,1980,BAFTA,84%,Movie
Meryl Streep,Forrest Gump,2012,Golden Globe,52%,Series
Natalie Portman,Fences,2016,BAFTA,56%,Series
Denzel Washington,The Matrix,1996,No Awards,52%,Series
Scarlett Johansson,Gravity,2015,No Awards,92%,Movie
Leonardo DiCaprio,La La Land,2003,No Awards,93%,Movie
Sandra Bullock,Ocean's Eleven,1985,No Awards,43%,Movie
Sandra Bullock,Titanic,2006,BAFTA,87%,Movie
Leonardo DiCaprio,Fences,1987,Critics Choice,88%,Movie
Brad Pitt,Training Day,2011,Oscar,52%,Series
Sandra Bullock,Fight Club,2008,Critics Choice,41%,Movie
Meryl Streep,The Matrix,2020,BAFTA,40%,Movie
Morgan Freeman,The Shawshank Redemption,2017,Critics Choice,54%,Movie
Natalie Portman,The Iron Lady,2021,Oscar,74%,Series
Tom Hanks,Lucy,2023,BAFTA,97%,Series
Meryl Streep,The Silence of the Lambs,1997,Screen Actors Guild,73%,Series
Robert De Niro,The Shawshank Redemption,1991,BAFTA,54%,Movie
Natalie Portman,The Devil Wears Prada,2009,Screen Actors Guild,54%,Movie
Meryl Streep,The Iron Lady,2007,Critics Choice,54%,Movie
Meryl Streep,Ocean's Eleven,2021,Oscar,94%,Movie
Brad Pitt,Se7en,2001,BAFTA,49%,Series
Denzel Washington,The Godfather Part II,1998,Critics Choice,61%,Series
Tom Hanks,Pulp Fiction,2012,Screen Actors Guild,50%,Movie
Sandra Bullock,Titanic,1995,BAFTA,100%,Series
Natalie Portman,The Silence of the Lambs,1980,Golden Globe,86%,Movie
Denzel Washington,The Iron Lady,2008,Oscar,78%,Series
Brad Pitt,The Iron Lady,1991,Critics Choice,84%,Movie
Scarlett Johansson,The Godfather Part II,1993,Oscar,51%,Movie
Sandra Bullock,La La Land,2004,No Awards,78%,Series
Sandra Bullock,The Wolf of Wall Street,2003,BAFTA,65%,Movie
Brad Pitt,Gravity,2016,No Awards,83%,Movie
Meryl Streep,The Silence of the Lambs,2005,Oscar,57%,Movie
Natalie Portman,The Shawshank Redemption,2022,Critics Choice,72%,Series
Sandra Bullock,The Iron Lady,2006,Oscar,67%,Series
Denzel Washington,Fight Club,2004,Critics Choice,79%,Series
Leonardo DiCaprio,Ocean's Eleven,2001,Screen Actors Guild,94%,Movie
Morgan Freeman,Forrest Gump,1981,No Awards,80%,Movie
Meryl Streep,The Iron Lady,2023,Golden Globe,85%,Series
Leonardo DiCaprio,Ocean's Eleven,2022,Screen Actors Guild,70%,Series
Meryl Streep,Lucy,1990,Critics Choice,56%,Movie
Denzel Washington,Se7en,2016,Critics Choice,75%,Series
Robert De Niro,The Iron Lady,2022,Critics Choice,47%,Series
Meryl Streep,The Wolf of Wall Street,1982,No Awards,68%,Movie
Robert De Niro,Fight Club,1995,Critics Choice,58%,Movie
Robert De Niro,Pulp Fiction,1997,No Awards,48%,Movie
Robert De Niro,Fences,1984,No Awards,100%,Movie
Brad Pitt,The Silence of the Lambs,2007,Critics Choice,89%,Movie
Scarlett Johansson,Forrest Gump,2001,No Awards,41%,Series
Brad Pitt,Titanic,1980,Screen Actors Guild,75%,Movie
Meryl Streep,The Silence of the Lambs,2018,No Awards,94%,Series
Leonardo DiCaprio,Lucy,1989,Screen Actors Guild,64%,Series
Scarlett Johansson,La La Land,1985,Golden Globe,57%,Movie
Tom Hanks,The Devil Wears Prada,2000,Oscar,60%,Movie
Scarlett Johansson,Lucy,1989,Screen Actors Guild,80%,Movie
Leonardo DiCaprio,The Devil Wears Prada,2014,BAFTA,44%,Series
Natalie Portman,Ocean's Eleven,2002,Oscar,89%,Series
Denzel Washington,Black Swan,1982,Oscar,77%,Movie
Leonardo DiCaprio,Black Swan,2003,Screen Actors Guild,81%,Series
Natalie Portman,Se7en,1998,BAFTA,64%,Series
Leonardo DiCaprio,Fences,1981,Critics Choice,91%,Movie
Denzel Washington,The Shawshank Redemption,2002,Critics Choice,44%,Movie
Natalie Portman,The Shawshank Redemption,2000,Oscar,65%,Movie
Natalie Portman,Gravity,1981,Screen Actors Guild,66%,Series
Sandra Bullock,The Departed,2006,Screen Actors Guild,58%,Movie
Morgan Freeman,Forrest Gump,2004,Critics Choice,87%,Movie
Brad Pitt,The Wolf of Wall Street,2017,Golden Globe,68%,Series
Denzel Washington,The Wolf of Wall Street,2002,No Awards,86%,Series
Leonardo DiCaprio,La La Land,2023,Oscar,100%,Series
Tom Hanks,The Silence of the Lambs,2005,Oscar,54%,Series
Morgan Freeman,Se7en,1999,Oscar,92%,Movie
Leonardo DiCaprio,Pulp Fiction,1985,Critics Choice,96%,Series
Meryl Streep,The Matrix,1990,No Awards,44%,Series
Tom Hanks,Ocean's Eleven,2020,Screen Actors Guild,64%,Movie
Scarlett Johansson,Se7en,2005,Screen Actors Guild,69%,Series
Morgan Freeman,Pulp Fiction,2014,No Awards,87%,Movie
Brad Pitt,Pulp Fiction,2011,BAFTA,41%,Series
Natalie Portman,Black Swan,1987,Critics Choice,47%,Movie
Meryl Streep,Lucy,2009,Golden Globe,80%,Movie
Sandra Bullock,Lucy,1992,BAFTA,82%,Series
Robert De Niro,Black Swan,1999,Critics Choice,80%,Movie
Robert De Niro,Pulp Fiction,1993,BAFTA,94%,Movie
Scarlett Johansson,Gravity,1986,Screen Actors Guild,76%,Series
Tom Hanks,Forrest Gump,1989,Oscar,91%,Movie
Denzel Washington,The Godfather Part II,2011,Critics Choice,84%,Series
Scarlett Johansson,The Departed,2023,Oscar,42%,Series
Natalie Portman,Forrest Gump,2009,Oscar,73%,Series
Scarlett Johansson,The Devil Wears Prada,1988,Oscar,99%,Movie
Sandra Bullock,The Iron Lady,1998,Screen Actors Guild,86%,Movie
Tom Hanks,The Godfather Part II,2002,Screen Actors Guild,51%,Series
Meryl Streep,Pulp Fiction,1993,Screen Actors Guild,76%,Series
Sandra Bullock,Fences,2018,No Awards,87%,Series
Tom Hanks,Black Swan,1989,BAFTA,84%,Movie
Brad Pitt,The Matrix,2015,Screen Actors Guild,67%,Movie
Natalie Portman,Forrest Gump,2017,Oscar,100%,Movie
Robert De Niro,Lucy,1987,Screen Actors Guild,79%,Movie
Sandra Bullock,The Departed,1989,BAFTA,84%,Series
Tom Hanks,Fight Club,2003,Oscar,92%,Series
Natalie Portman,Lucy,1984,Screen Actors Guild,61%,Movie
Leonardo DiCaprio,Lucy,2004,Screen Actors Guild,99%,Movie
Tom Hanks,The Matrix,1995,Critics Choice,100%,Series
Robert De Niro,The Silence of the Lambs,1980,Golden Globe,65%,Series
Denzel Washington,The Departed,1988,BAFTA,67%,Series
Scarlett Johansson,Titanic,2003,Golden Globe,72%,Movie
Robert De Niro,Titanic,2000,No Awards,49%,Series
Sandra Bullock,Fences,2017,Screen Actors Guild,62%,Series
Morgan Freeman,The Godfather Part II,2001,Critics Choice,60%,Series
Robert De Niro,The Iron Lady,2009,Critics Choice,71%,Movie
Meryl Streep,Titanic,1993,Critics Choice,59%,Movie
Scarlett Johansson,The Iron Lady,2010,Screen Actors Guild,46%,Movie
Natalie Portman,The Iron Lady,1991,Screen Actors Guild,83%,Movie
Meryl Streep,Se7en,1994,Screen Actors Guild,77%,Movie
Robert De Niro,The Departed,1993,Critics Choice,88%,Series
Natalie Portman,Fences,2015,Critics Choice,97%,Movie
Scarlett Johansson,The Iron Lady,1993,Screen Actors Guild,61%,Series
Tom Hanks,Pulp Fiction,1983,Critics Choice,86%,Movie
Scarlett Johansson,The Departed,2005,Screen Actors Guild,83%,Movie
Morgan Freeman,The Silence of the Lambs,2000,BAFTA,90%,Series
Morgan Freeman,The Shawshank Redemption,1982,No Awards,99%,Series
Meryl Streep,The Iron Lady,1999,Screen Actors Guild,53%,Movie
Leonardo DiCaprio,The Devil Wears Prada,2015,No Awards,52%,Movie
Sandra Bullock,The Departed,1994,Critics Choice,61%,Movie
Morgan Freeman,The Wolf of Wall Street,1984,BAFTA,69%,Movie
Denzel Washington,Titanic,2019,BAFTA,89%,Series
Tom Hanks,The Iron Lady,2017,Critics Choice,69%,Series
Meryl Streep,Titanic,2021,Screen Actors Guild,46%,Movie
Denzel Washington,Titanic,1989,BAFTA,77%,Series
Meryl Streep,The Silence of the Lambs,1980,No Awards,80%,Series
Tom Hanks,Titanic,1987,BAFTA,55%,Series
Robert De Niro,The Silence of the Lambs,1981,No Awards,45%,Series
Morgan Freeman,Se7en,1997,Screen Actors Guild,69%,Series
Natalie Portman,Titanic,1995,Golden Globe,90%,Series
Sandra Bullock,Training Day,2016,Screen Actors Guild,67%,Series
Robert De Niro,Ocean's Eleven,2001,BAFTA,62%,Series
Meryl Streep,The Silence of the Lambs,1986,Screen Actors Guild,81%,Movie
Scarlett Johansson,Ocean's Eleven,1986,Screen Actors Guild,76%,Movie
Tom Hanks,The Godfather Part II,1995,Oscar,50%,Series
Denzel Washington,Lucy,1983,Golden Globe,65%,Movie
Scarlett Johansson,Forrest Gump,1983,No Awards,77%,Series
Morgan Freeman,Ocean's Eleven,2016,BAFTA,97%,Movie
Robert De Niro,Fight Club,2010,Screen Actors Guild,54%,Movie
Morgan Freeman,Ocean's Eleven,2005,Screen Actors Guild,55%,Movie
Leonardo DiCaprio,The Shawshank Redemption,2013,Screen Actors Guild,72%,Series
Tom Hanks,The Iron Lady,1984,No Awards,94%,Movie
Sandra Bullock,The Wolf of Wall Street,1993,No Awards,74%,Series
Leonardo DiCaprio,Titanic,1992,No Awards,48%,Series
Natalie Portman,Ocean's Eleven,2014,Oscar,95%,Movie
Denzel Washington,Fight Club,2007,Oscar,49%,Movie
Natalie Portman,Fight Club,1998,BAFTA,68%,Movie
Brad Pitt,Black Swan,1981,BAFTA,61%,Series
Natalie Portman,The Shawshank Redemption,2007,Screen Actors Guild,82%,Movie
Meryl Streep,Fight Club,1986,Critics Choice,58%,Movie
Denzel Washington,The Matrix,1997,Oscar,77%,Series
Natalie Portman,The Matrix,2001,Screen Actors Guild,52%,Series
Brad Pitt,Gravity,2019,BAFTA,64%,Movie
Scarlett Johansson,Black Swan,2007,Screen Actors Guild,61%,Movie
Tom Hanks,Black Swan,1988,Screen Actors Guild,64%,Movie
Tom Hanks,Ocean's Eleven,2000,Screen Actors Guild,100%,Series
Brad Pitt,The Matrix,2003,No Awards,81%,Series
Scarlett Johansson,The Silence of the Lambs,2000,Critics Choice,45%,Movie
Morgan Freeman,Fences,2014,BAFTA,73%,Movie
Scarlett Johansson,Fight Club,2017,Screen Actors Guild,82%,Movie
Denzel Washington,Titanic,1981,Golden Globe,63%,Movie
Sandra Bullock,Black Swan,1991,Screen Actors Guild,53%,Series
Denzel Washington,The Silence of the Lambs,1980,No Awards,59%,Series
Robert De Niro,Forrest Gump,1987,Golden Globe,100%,Series
Morgan Freeman,Training Day,1980,No Awards,58%,Series
Denzel Washington,Fences,1987,Golden Globe,51%,Movie
Scarlett Johansson,The Devil Wears Prada,2000,BAFTA,56%,Series
Tom Hanks,The Wolf of Wall Street,1981,No Awards,78%,Movie
Robert De Niro,Fight Club,2006,Critics Choice,54%,Movie
Leonardo DiCaprio,Ocean's Eleven,2016,Screen Actors Guild,62%,Movie
Tom Hanks,The Departed,2001,Critics Choice,94%,Series
Denzel Washington,Pulp Fiction,1982,Screen Actors Guild,62%,Movie
Scarlett Johansson,The Silence of the Lambs,2021,Golden Globe,94%,Movie
Sandra Bullock,The Departed,1994,Oscar,88%,Series
